59,JAWA TENGAH,KOTA SEMARANG,GAYAMSARI,PANDEAN LAMPER,"Jl. Kelinci Raya Rt 001 Rw 001, Pandean Lamper, Kec. Gayamsari, Kota Semarang, Jawa Tengah",SPPG Kota Semarang Gayamsari Pandean Lamper
60,KALIMANTAN BARAT,KETAPANG,SANDAI,MUARA JEKAK,"Jl. Aur Kuning Sandai Desa Muara Jekak, Kec. Sandai, Kab. Ketapang, Kalimantan Barat",SPPG Ketapang Sandai Muara Jekak
No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
61,JAWA BARAT,SUMEDANG,SUMEDANG SELATAN,KOTA KULON,"Jl. Pangeran Santri No.43, Kota Kulon, Kecamatan Sumedang Selatan, Kabupaten Sumedang, Jawa Barat",SPPG Sumedang Sumedang Selatan Kota Kulon 4
62,JAWA TENGAH,TEGAL,PAGERBARANG,MULYOHARJO,"Jl. Raya Balapulang Jatibarang Desa Mulyoharjo Rt. 01 Rw. 02 Kec. Pagerbarang, Kab. Tegal, Jawa Tengah",SPPG Tegal Pagerbarang Mulyoharjo
63,JAWA TIMUR,PACITAN,PACITAN,SIRNOBOYO,RT 03 RW 01 Dusun Ngemplak Desa Sirnoboyo Kec Pacitan Kab Pacitan Jawa Timur Kode Pos 63518,SPPG Pacitan Pacitan Sirnoboyo
64,BANTEN,PANDEGLANG,PANIMBANG,MEKARJAYA,"Kampung Ciseukeut Barat Rt. 01 Rw. 05 Desa Mekarsari, Kec. Panimbang, Kab. Pandeglang, Banten",SPPG Pandeglang Panimbang Mekarjaya 2
65,NUSA TENGGARA BARAT,LOMBOK TENGAH,BATUKLIANG,BUJAK,"Dusun Bujak Permai, Desa Bujak Kec. Batukliang, Kab. Lombok Tengah, Nusa Tenggara Barat",SPPG Lombok Tengah Batukliang Bujak 2
66,BENGKULU,LEBONG,LEBONG SELATAN,KUTAI DONOK,"Kutai Donok, Kec. Lebong Selatan, Kab. Lebong, Bengkulu",SPPG Lebong Lebong Selatan Kutai Donok
67,DAERAH ISTIMEWA YOGYAKARTA,GUNUNGKIDUL,WONOSARI,BALEHARJO,"Jl. Baron, Purwosari, Baleharjo, Kecamatan Wonosari, Kabupaten Gunungkidul, Daerah Istimewa Yogyakarta",SPPG Gunungkidul Wonosari Baleharjo 3
68,JAWA BARAT,KOTA BEKASI,BEKASI BARAT,JAKASAMPURNA,"Jl. Patriot Rt 005 Rw 006 B Jakasampurna, Kecamatan Bekasi Barat, Kota Bekasi, Jawa Barat",SPPG Kota Bekasi Bekasi Barat Jakasampurna 6
69,LAMPUNG,WAY KANAN,BARADATU,TAMAN ASRI,"Jl. Sadewa No 51 Kel. Taman Asri , Baradatu, Way Kanan",SPPG Way Kanan Baradatu Taman Asri
70,ACEH,PIDIE JAYA,BANDAR BARU,PARU KEUDE,"Desa Paru Keude, Kec. Bandar Baru, Kab. Pidie Jaya, Aceh",SPPG Pidie Jaya Bandar Baru Paru Keude 5
No,Provinsi SPPG,Kab./Kota SPPG,Kecamatan SPPG,Kelurahan/Desa SPPG,Alamat SPPG,Nama SPPG
71,JAWA TIMUR,JEMBER,SUMBERSARI,KRANJINGAN,"Jl. Yos Sudarso No.121, Langsepan, Kranjingan, Kec. Sumbersari, Kab. Jember, Jawa Timur",SPPG Jember Sumbersari Kranjingan 2
72,JAWA TIMUR,LAMONGAN,PACIRAN,PACIRAN,"Jl. Sendang Desa Paciran Kecamatan Paciran Kabupaten Lamongan 62264 Jawa Timur, Paciran, Paciran, Kabupaten Lamongan, Jawa Timur",SPPG Lamongan Paciran Paciran
73,JAWA BARAT,BANDUNG BARAT,SINDANGKERTA,WANGUNSARI,"Kampung Babakan Mulya Rt.05 Rw.08, Wangunsari, Kec. Sindangkerta, Kab. Bandung Barat, Jawa Barat",SPPG Bandung Barat Sindangkerta Wangunsari
